source	word	sage	base_count	base_rate	file_count	file_rate
/home/mamille3/hegemonic_hate/data/categories/race_ethnicity_sents.txt	swim	0.6310390944058343	56	1.8564007704063198e-05	53	3.593727115416954e-05
/home/mamille3/hegemonic_hate/data/categories/race_ethnicity_sents.txt	merrying	0.62429473573048	24	7.95600330174137e-06	24	1.627348127735979e-05
/home/mamille3/hegemonic_hate/data/categories/race_ethnicity_sents.txt	kfc	0.6207320050577119	42	1.3923005778047398e-05	40	2.7122468795599652e-05
/home/mamille3/hegemonic_hate/data/categories/race_ethnicity_sents.txt	palms	0.6187800475689532	23	7.624503164168813e-06	23	1.55954195574698e-05
/home/mamille3/hegemonic_hate/data/categories/race_ethnicity_sents.txt	ethiopian	0.6141161725520791	146	4.839902008559333e-05	132	8.950414702547884e-05
/home/mamille3/hegemonic_hate/data/categories/race_ethnicity_sents.txt	niggah	0.5997090775877301	52	1.723800715377297e-05	48	3.254696255471958e-05
/home/mamille3/hegemonic_hate/data/categories/race_ethnicity_sents.txt	browns	0.599287811365862	36	1.1934004952612056e-05	34	2.3054098476259702e-05
/home/mamille3/hegemonic_hate/data/categories/race_ethnicity_sents.txt	zimmerman	0.5981272438038893	20	6.630002751451142e-06	20	1.3561234397799826e-05
/home/mamille3/hegemonic_hate/data/categories/race_ethnicity_sents.txt	detroit	0.5919282983426254	57	1.8895507841635753e-05	52	3.5259209434279546e-05
/home/mamille3/hegemonic_hate/data/categories/race_ethnicity_sents.txt	cotton	0.5898447257961084	153	5.071952104860124e-05	135	9.153833218514882e-05
/home/mamille3/hegemonic_hate/data/categories/religion_sents.txt	acne	1.659520786545251	36	1.1934004952612056e-05	34	6.272171665648977e-05
/home/mamille3/hegemonic_hate/data/categories/religion_sents.txt	ci	1.6111185002020072	32	1.0608004402321827e-05	29	5.349793479524127e-05
/home/mamille3/hegemonic_hate/data/categories/religion_sents.txt	clergies	1.4030442517730786	71	2.3536509767651552e-05	51	9.408257498473464e-05
/home/mamille3/hegemonic_hate/data/categories/religion_sents.txt	catholicism	1.3844322419716502	49	1.6243506741055296e-05	35	6.456647302873946e-05
/home/mamille3/hegemonic_hate/data/categories/religion_sents.txt	priest	1.3634686130354494	342	0.00011337304704981452	231	0.00042613872198968045
/home/mamille3/hegemonic_hate/data/categories/religion_sents.txt	buns	1.351034399408032	19	6.298502613878585e-06	14	2.5826589211495783e-05
/home/mamille3/hegemonic_hate/data/categories/religion_sents.txt	nun	1.3438422167179647	48	1.591200660348274e-05	33	6.087696028424006e-05
/home/mamille3/hegemonic_hate/data/categories/religion_sents.txt	altar	1.338080644960725	33	1.0939504539894384e-05	23	4.2429396561743075e-05
/home/mamille3/hegemonic_hate/data/categories/religion_sents.txt	catholic	1.3147616524410142	1030	0.0003414451416997338	660	0.0012175392056848013
/home/mamille3/hegemonic_hate/data/categories/religion_sents.txt	gospels	1.3075679630004295	23	7.624503164168813e-06	16	2.951610195599518e-05
/home/mamille3/hegemonic_hate/data/categories/gender_sexuality_sents.txt	12288	1.0975834564173952	76	2.519401045551434e-05	76	7.6021209917567e-05
/home/mamille3/hegemonic_hate/data/categories/gender_sexuality_sents.txt	femoids	1.0850636802158822	51	1.690650701620041e-05	51	5.101423297099891e-05
/home/mamille3/hegemonic_hate/data/categories/gender_sexuality_sents.txt	notsexist	1.0766085279375803	64	2.1216008804643654e-05	63	6.301758190535159e-05
/home/mamille3/hegemonic_hate/data/categories/gender_sexuality_sents.txt	lgbtbbq	1.0579467297061083	30	9.945004127176713e-06	30	3.0008372335881712e-05
/home/mamille3/hegemonic_hate/data/categories/gender_sexuality_sents.txt	xir	1.0579467297061083	30	9.945004127176713e-06	30	3.0008372335881712e-05
/home/mamille3/hegemonic_hate/data/categories/gender_sexuality_sents.txt	thundercunts	1.0411108084133263	24	7.95600330174137e-06	24	2.400669786870537e-05
/home/mamille3/hegemonic_hate/data/categories/gender_sexuality_sents.txt	lgbtqbbq	1.0374094165370906	23	7.624503164168813e-06	23	2.3006418790842645e-05
/home/mamille3/hegemonic_hate/data/categories/gender_sexuality_sents.txt	counterfeit	1.0341627013268462	34	1.1271004677466941e-05	33	3.300920956946988e-05
/home/mamille3/hegemonic_hate/data/categories/gender_sexuality_sents.txt	refrigerator	1.031352605707712	33	1.0939504539894384e-05	32	3.200893049160716e-05
/home/mamille3/hegemonic_hate/data/categories/gender_sexuality_sents.txt	dykey	1.0288899275973329	21	6.961502889023699e-06	21	2.10058606351172e-05
